#Created as New Dataset	Sample 003 By PEService Date Tuesday	 April 30 2013
#cm-1	%T
3119.00	90.28
3118.00	90.28
3117.00	90.28
3116.00	90.28
3115.00	90.27
3114.00	90.27
3113.00	90.26
3112.00	90.25
3111.00	90.25
3110.00	90.24
3109.00	90.23
3108.00	90.22
3107.00	90.22
3106.00	90.21
3105.00	90.20
3104.00	90.20
3103.00	90.19
3102.00	90.19
3101.00	90.18
3100.00	90.17
3099.00	90.16
3098.00	90.16
3097.00	90.15
3096.00	90.15
3095.00	90.15
3094.00	90.14
3093.00	90.14
3092.00	90.13
3091.00	90.11
3090.00	90.10
3089.00	90.09
3088.00	90.09
3087.00	90.08
3086.00	90.07
3085.00	90.06
3084.00	90.04
3083.00	90.03
3082.00	90.02
3081.00	90.00
3080.00	89.99
3079.00	89.97
3078.00	89.95
3077.00	89.94
3076.00	89.92
3075.00	89.90
3074.00	89.88
3073.00	89.86
3072.00	89.83
3071.00	89.81
3070.00	89.78
3069.00	89.75
3068.00	89.72
3067.00	89.69
3066.00	89.66
3065.00	89.62
3064.00	89.58
3063.00	89.54
3062.00	89.50
3061.00	89.47
3060.00	89.43
3059.00	89.38
3058.00	89.34
3057.00	89.29
3056.00	89.24
3055.00	89.19
3054.00	89.14
3053.00	89.09
3052.00	89.04
3051.00	88.99
3050.00	88.94
3049.00	88.89
3048.00	88.83
3047.00	88.78
3046.00	88.73
3045.00	88.67
3044.00	88.61
3043.00	88.55
3042.00	88.49
3041.00	88.43
3040.00	88.37
3039.00	88.31
3038.00	88.25
3037.00	88.19
3036.00	88.12
3035.00	88.05
3034.00	87.98
3033.00	87.90
3032.00	87.82
3031.00	87.74
3030.00	87.65
3029.00	87.57
3028.00	87.48
3027.00	87.41
3026.00	87.35
3025.00	87.29
3024.00	87.25
3023.00	87.22
3022.00	87.20
3021.00	87.18
3020.00	87.17
3019.00	87.17
3018.00	87.18
3017.00	87.20
3016.00	87.23
3015.00	87.26
3014.00	87.31
3013.00	87.37
3012.00	87.42
3011.00	87.48
3010.00	87.54
3009.00	87.59
3008.00	87.64
3007.00	87.68
3006.00	87.72
3005.00	87.74
3004.00	87.77
3003.00	87.78
3002.00	87.80
